participant_id,age_group,role,data_literacy,device,prototype_version,task_id,task_name,task_category,task_success,completion_time_sec,clicks,errors,help_needed,ease_of_use_1_5,visual_clarity_1_5,filter_usability_1_5,confidence_in_answer_1_5,satisfaction_1_5,accessibility_rating_1_5,avg_rating_1_5,usability_score_0_100,most_confusing_element,comment_sentiment,open_comment
P035,25-34,Research Assistant,Medium,Mobile,Prototype B,T3,Identify the worst-rated feature,Analysis,1,92,6,1,0,4,3,5,4,4,4,4.0,79.5,Navigation,Neutral,"The app was understandable, but some labels could be clearer."
P035,25-34,Research Assistant,Medium,Mobile,Prototype B,T4,Find detailed comments for a selected issue,Details,0,136,11,0,1,4,2,3,3,3,3,3.0,39.5,Color meaning,Negative,There was too much information on one screen.
P036,55+,Student,Medium,Laptop,Prototype B,T1,Find the overall satisfaction score,Overview,1,22,2,0,0,5,4,5,5,4,5,4.67,97.1,None,Positive,I liked that the main findings were visible immediately.
P036,55+,Student,Medium,Laptop,Prototype B,T2,Filter results by user group,Filtering,1,61,8,0,0,5,4,3,5,4,4,4.17,88.3,None,Positive,The overview cards helped me start quickly.
P036,55+,Student,Medium,Laptop,Prototype B,T3,Identify the worst-rated feature,Analysis,1,62,5,0,0,5,5,4,5,4,5,4.67,92.6,None,Positive,I liked that the main findings were visible immediately.
P036,55+,Student,Medium,Laptop,Prototype B,T4,Find detailed comments for a selected issue,Details,0,105,7,1,1,3,3,4,2,3,3,3.0,39.3,Too much information,Negative,I was not sure which filter affected which chart.
P037,18-24,Student,Medium,Laptop,Prototype B,T1,Find the overall satisfaction score,Overview,1,41,6,1,0,5,4,4,4,4,4,4.17,86.8,Too much information,Neutral,"The layout was okay, but the detail table was a bit dense."
P037,18-24,Student,Medium,Laptop,Prototype B,T2,Filter results by user group,Filtering,1,57,5,2,1,3,4,5,4,5,4,4.17,81.3,Filters,Neutral,"The dashboard worked, but I would prefer more explanations."
P037,18-24,Student,Medium,Laptop,Prototype B,T3,Identify the worst-rated feature,Analysis,1,79,9,1,0,4,4,5,4,4,4,4.17,82.5,Color meaning,Neutral,"The dashboard worked, but I would prefer more explanations."
P037,18-24,Student,Medium,Laptop,Prototype B,T4,Find detailed comments for a selected issue,Details,1,70,6,0,0,4,4,4,4,3,4,3.83,84.3,Chart labels,Neutral,"I found the answer, but it took a little time."
P038,18-24,Student,High,Laptop,Prototype B,T1,Find the overall satisfaction score,Overview,1,29,2,0,0,4,4,5,5,4,5,4.5,94.8,None,Positive,The overview cards helped me start quickly.
P038,18-24,Student,High,Laptop,Prototype B,T2,Filter results by user group,Filtering,1,38,2,1,0,5,5,5,4,4,4,4.5,90.1,Filters,Neutral,"The layout was okay, but the detail table was a bit dense."
P038,18-24,Student,High,Laptop,Prototype B,T3,Identify the worst-rated feature,Analysis,1,56,5,0,0,4,4,4,4,4,3,3.83,85.9,None,Positive,The overview cards helped me start quickly.
P038,18-24,Student,High,Laptop,Prototype B,T4,Find detailed comments for a selected issue,Details,1,62,3,1,0,4,4,5,5,5,3,4.33,85.8,None,Neutral,"The dashboard worked, but I would prefer more explanations."
P039,18-24,Student,High,Laptop,Prototype B,T1,Find the overall satisfaction score,Overview,1,30,3,1,0,5,4,4,4,5,4,4.33,89.5,None,Neutral,"The dashboard worked, but I would prefer more explanations."
P039,18-24,Student,High,Laptop,Prototype B,T2,Filter results by user group,Filtering,1,28,3,0,0,4,5,4,5,5,4,4.5,94.9,None,Positive,The dashboard was easy to understand.
P039,18-24,Student,High,Laptop,Prototype B,T3,Identify the worst-rated feature,Analysis,1,58,5,2,1,3,5,5,5,4,5,4.5,84.0,None,Neutral,"The dashboard worked, but I would prefer more explanations."
P039,18-24,Student,High,Laptop,Prototype B,T4,Find detailed comments for a selected issue,Details,1,54,3,0,0,3,5,4,4,5,4,4.17,89.1,None,Positive,The filters were clear and useful.
P040,25-34,Research Assistant,Low,Desktop,Prototype B,T1,Find the overall satisfaction score,Overview,1,33,2,0,0,4,4,4,4,4,4,4.0,90.0,None,Positive,The charts made the results easy to compare.
P040,25-34,Research Assistant,Low,Desktop,Prototype B,T2,Filter results by user group,Filtering,1,65,4,0,0,4,5,4,4,4,4,4.17,87.9,None,Positive,The dashboard was easy to understand.
P040,25-34,Research Assistant,Low,Desktop,Prototype B,T3,Identify the worst-rated feature,Analysis,1,57,2,0,0,4,3,5,4,4,5,4.17,88.8,None,Positive,The dashboard was easy to understand.
P040,25-34,Research Assistant,Low,Desktop,Prototype B,T4,Find detailed comments for a selected issue,Details,1,83,5,0,0,3,4,3,4,5,3,3.67,81.4,None,Positive,The filters were clear and useful.
